,Classifier Name,Hyperparameters,Precision,Recall,F-score
28,Random Forest,5,0.47058823529411764,0.5714285714285714,0.5161290322580646
29,Biased Classifier,Dummy,0.21875,1.0,0.358974358974359
30,Decision Tree,2,0.5,0.4,0.4444444444444445
31,Naive Bayes,0,0.5714285714285714,0.26666666666666666,0.36363636363636365
32,SVM,1,0.7142857142857143,0.3333333333333333,0.4545454545454545
33,MLP,"(50, 50)",0.35714285714285715,0.3333333333333333,0.3448275862068965
34,Random Forest,5,0.35714285714285715,0.3333333333333333,0.3448275862068965
35,Biased Classifier,Dummy,0.23076923076923078,1.0,0.375
36,Decision Tree,2,0.7777777777777778,0.4375,0.56
37,Naive Bayes,0,0.7,0.4375,0.5384615384615384
38,SVM,1,0.875,0.4375,0.5833333333333334
39,MLP,"(50, 50)",0.6,0.375,0.4615384615384615
40,Random Forest,5,0.6363636363636364,0.4375,0.5185185185185185
41,Biased Classifier,Dummy,0.24615384615384617,1.0,0.39506172839506176
42,Decision Tree,2,0.6666666666666666,0.35294117647058826,0.46153846153846156
43,Naive Bayes,0,0.6,0.17647058823529413,0.2727272727272727
44,SVM,1,0.75,0.17647058823529413,0.2857142857142857
45,MLP,"(50, 50)",0.4444444444444444,0.47058823529411764,0.45714285714285713
46,Random Forest,5,0.5555555555555556,0.5882352941176471,0.5714285714285715
47,Biased Classifier,Dummy,0.26153846153846155,1.0,0.41463414634146345
48,Decision Tree,2,0.8,0.3076923076923077,0.4444444444444444
49,Naive Bayes,0,0.6666666666666666,0.3076923076923077,0.42105263157894735
50,SVM,1,0.5,0.15384615384615385,0.23529411764705882
51,MLP,"(50, 50)",0.6,0.46153846153846156,0.5217391304347826
52,Random Forest,5,0.75,0.46153846153846156,0.5714285714285714
